Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Afghanistan,Parliamentary,2018,0.45230,4000000.00,8843151.00,0.218,18340292.00,34940837.00,,No
Afghanistan,Parliamentary,2010,0.35140,4216594.00,12000000.00,0.297,14191908.00,29120727.00,0.044,No
Afghanistan,Parliamentary,2005,0.49370,6406615.00,12977336.00,0.517,12389532.00,26334702.00,0.051,No
Afghanistan,Presidential,2019,0.19000,1824401.00,9600000.00,0.096,18938369.00,35780458.00,,No
Afghanistan,Presidential,2014,0.38900,8109493.00,20845988.00,0.500,16208255.00,31822848.00,0.017,No
Afghanistan,Presidential,2009,0.38800,4823090.00,12430644.00,0.351,13757508.00,28483631.00,0.047,No
Afghanistan,Presidential,2004,0.83660,8128940.00,9716413.00,0.675,12035602.00,25697635.00,0.013,No
Albania,Parliamentary,2017,0.46760,1614479.00,3452324.00,0.685,2356975.00,3047987.00,0.020,No
Albania,Parliamentary,2013,0.53310,1744261.00,3271885.00,0.767,2274815.00,3011405.00,0.018,No
Albania,Parliamentary,2009,0.50770,1566079.00,3084946.00,0.691,2266221.00,3194417.00,0.030,No
Albania,Parliamentary,2005,0.48730,1389320.00,2850821.00,0.590,2356387.00,3563112.00,0.016,No
Albania,Parliamentary,2001,0.54950,1373210.00,2499238.00,0.673,2040574.00,3490435.00,0.036,No
Albania,Parliamentary,1997,0.72560,1412929.00,1947235.00,0.634,2228430.00,3510500.00,,No
Albania,Parliamentary,1996,0.89080,1963344.00,2204002.00,0.895,2193030.00,3481000.00,,No
Albania,Parliamentary,1992,0.91500,1830000.00,2000000.00,0.892,2051430.00,3363000.00,,No
Albania,Parliamentary,1991,0.98920,1963568.00,1984933.00,0.989,1985550.00,3255000.00,,No
Algeria,Parliamentary,2017,0.37090,8624199.00,23251503.00,0.317,27248442.00,40969443.00,0.245,No
Algeria,Parliamentary,2012,0.43140,9339026.00,21645841.00,0.387,24130650.00,35406303.00,,No
