event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1164223,true,1995-08-18 00:00:00.000,-116.27,43.46,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164224,true,1995-08-18 16:10:00.000,-116.25,43.452,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164225,true,1995-08-18 20:15:00.000,-116.294,43.453,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164226,true,1995-08-18 21:55:00.000,-116.283,43.446,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164227,true,1995-08-19 21:49:00.000,-116.345,43.524,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164228,true,1995-08-20 01:28:00.000,-116.253,43.398,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164229,true,1995-08-20 03:08:00.000,-116.269,43.45,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164230,true,1995-08-21 08:12:00.000,-116.184,43.414,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164231,true,1995-08-21 09:54:00.000,-116.139,43.439,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164232,true,1995-08-21 11:35:00.000,-116.189,43.447,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164233,true,1995-08-22 14:41:00.000,-116.268,43.44,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164234,true,1995-08-22 16:20:00.000,-116.29,43.437,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164235,true,1995-08-22 19:32:00.000,-116.258,43.424,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164236,true,1995-08-29 17:06:00.000,-116.134,43.37,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164237,true,1995-08-29 19:54:00.000,-116.177,43.51,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164238,true,1995-08-29 21:38:00.000,-116.332,43.459,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164239,true,1995-09-05 20:21:00.000,-116.223,43.481,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164240,true,1995-09-05 22:01:00.000,-116.35,43.486,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164241,true,1995-09-06 00:19:00.000,-116.3,43.398,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164242,true,1995-09-06 02:00:00.000,-116.209,43.46,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164243,true,1995-09-13 02:48:00.000,-116.285,43.456,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164244,true,1995-09-13 04:28:00.000,-116.25,43.545,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164245,true,1995-09-20 03:35:00.000,-113.336,42.456,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164246,true,1995-09-20 07:50:00.000,-113.233,42.532,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164247,true,1995-09-20 09:30:00.000,-113.262,42.394,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164248,true,1995-09-27 08:17:00.000,-103.616,37.847,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164249,true,1995-09-27 10:00:00.000,-103.604,37.804,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164250,true,1995-09-27 13:19:00.000,-103.617,37.812,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164251,true,1995-10-04 10:20:00.000,-102.449,36.076,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164252,true,1995-10-04 14:09:00.000,-102.315,36.053,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164253,true,1995-10-04 15:48:00.000,-102.332,36.05,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164254,true,1995-10-08 01:58:00.000,-102.788,33.273,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164255,true,1995-10-11 15:00:00.000,-102.462,32.215,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164256,true,1995-10-11 20:31:00.000,-102.351,32.126,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164257,true,1995-10-15 08:25:00.000,-99.303,25.816,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164258,true,1995-10-15 10:07:00.000,-99.392,25.78,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164259,true,1995-10-18 20:46:00.000,-95.236,16.427,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164260,true,1995-10-22 14:21:00.000,-89.274,14.004,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164261,true,1995-10-26 00:22:00.000,-84.454,10.996,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164262,true,1995-11-02 01:06:00.000,-76.343,7.425,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164263,true,1995-11-05 19:12:00.000,-75.43,2.828,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164264,true,1995-11-16 10:22:00.000,-67.656,-10.476,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164265,true,1995-11-19 23:24:00.000,-66.479,-18.583,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164266,true,1995-11-20 05:30:00.000,-62.478,-17.958,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164267,true,1995-11-23 12:55:00.000,-62.266,-27.987,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164268,true,1995-11-23 17:28:00.000,-62.295,-29.329,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164269,true,1995-11-23 19:04:00.000,-62.039,-29.179,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164270,true,1995-11-27 04:20:00.000,-62.233,-31.674,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164271,true,1995-11-27 05:56:00.000,-62.244,-31.681,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164272,true,1995-11-30 17:49:00.000,-63.814,-33.47,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164273,true,1995-11-30 19:33:00.000,-63.637,-33.522,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164274,true,1995-11-30 22:45:00.000,-63.677,-33.529,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164275,true,1995-12-04 06:26:00.000,-64.657,-34.013,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164276,true,1995-12-04 10:38:00.000,-64.636,-33.999,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164277,true,1995-12-07 23:30:00.000,-64.32,-34.857,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164278,true,1995-12-14 22:34:00.000,-64.595,-34.765,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164279,true,1995-12-15 00:20:00.000,-64.456,-34.836,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164280,true,1995-12-15 04:29:00.000,-64.39,-34.937,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164281,true,1995-12-15 06:04:00.000,-64.483,-34.846,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164282,true,1995-12-22 04:47:00.000,-64.944,-34.525,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164283,true,1995-12-22 06:30:00.000,-64.914,-34.557,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164284,true,1995-12-29 06:53:00.000,-65.006,-34.59,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164285,true,1995-12-29 09:52:00.000,-65.072,-34.551,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164286,true,1995-12-29 11:30:00.000,-65.032,-34.639,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164287,true,1996-01-05 10:41:00.000,-59.865,-36.3,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164288,true,1996-01-12 16:46:00.000,-58.797,-36.077,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164289,true,1996-01-12 18:28:00.000,-58.778,-36.103,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164290,true,1996-01-19 22:55:00.000,-58.913,-36.134,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164291,true,1996-01-26 23:43:00.000,-58.821,-36.151,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164292,true,1996-02-02 22:51:00.000,-58.649,-36.163,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164293,true,1996-02-03 00:27:00.000,-58.746,-36.129,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164294,true,1996-02-03 03:48:00.000,-58.76,-36.15,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164295,true,1996-02-10 04:11:00.000,-63.141,-35.283,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164296,true,1996-02-10 05:49:00.000,-63.188,-35.324,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164297,true,1996-02-10 09:16:00.000,-63.144,-35.315,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164298,true,1996-02-17 06:12:00.000,-64.169,-34.595,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1164299,true,1996-02-17 10:04:00.000,-64.214,-34.582,"argos-doppler-shift","Buteo swainsoni","#204651","SW1","Swainson's Hawks"
1162624,true,1996-08-11 00:00:00.000,-111.67,51.28,"argos-doppler-shift","Buteo swainsoni","#204653","SW10","Swainson's Hawks"
1162625,true,1996-08-11 15:44:00.000,-111.598,51.32,"argos-doppler-shift","Buteo swainsoni","#204653","SW10","Swainson's Hawks"
1162626,true,1996-08-14 18:31:00.000,-111.637,51.328,"argos-doppler-shift","Buteo swainsoni","#204653","SW10","Swainson's Hawks"
1162627,true,1996-08-14 20:12:00.000,-111.64,51.273,"argos-doppler-shift","Buteo swainsoni","#204653","SW10","Swainson's Hawks"
