,ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES
0,840,USA4524,4524,2020-5-24,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Maryland,Baltimore City,,Baltimore,39.29,-76.612,1,Fox45 (Baltimore),Subnational,"On 24 May 2020, a caravan of people staged a march in Baltimore (Maryland) against President Donald Trump's visit amid the coronavirus pandemic. [size=no report]",0
1,840,USA4525,4525,2020-5-24,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Illinois,Williamson,,Marion,37.731,-88.93299999999999,1,Southern Illinoisan,Subnational,"On 24 May 2020, nearly 50 people held a ""Patriot Rally"" in Marion (Illinois) pressing for the economy to be reopened and for the Governor to step down amid the coronavirus pandemic. [size=nearly 50]",0
2,840,USA4526,4526,2020-5-24,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Ohio,Mahoning,,Youngstown,41.1,-80.65,1,WKBN,Subnational,"On 24 May 2020, an unreported number of people protested in Youngstown (Ohio) demanding that House Bill 292 be passed. The bill offers accessible and affordable healthcare in Ohio. [size=no report]",0
3,840,USA4527,4527,2020-5-24,2020,1,Protests,Peaceful protest,Protesters (United States),Teachers (United States); Latinx Group (United States),6,,,0,60,North America,United States,New Jersey,Middlesex,,New Brunswick,40.486,-74.452,1,My Central Jersey,Subnational,"On 24 May 2020, more than a dozen vehicles, organized by groups including the Fifth and Sixth Ward Neighborhood Association, the union Rutgers AAUP-AFT, and Defendamos Lincoln Annex, marched through the streets around the Lincoln Annex School in New Brunswick (New Jersey) to protest the redevelopment plan that would demolish the school and replace it with a cancer hospital. [size=more than a dozen vehicles]",0
4,840,USA4528,4528,2020-5-24,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,New York,Essex,,Keene,44.256,-73.792,1,Post-Star,Subnational,"On 24 May 2020, a few people staged a protest on Exit 30 at the Adirondacks in Keene (New York) against the tourists coming to the area for Memorial Day weekend, and to voice their concerns about coronavirus pandemic and resource shortages. [size=a few]",0
5,840,USA4529,4529,2020-5-24,2020,1,Protests,Peaceful protest,Protesters (United States),Women (United States),6,,,0,60,North America,United States,New York,Queens,,New York-Queens,40.731,-73.796,1,Queens Chronicle,Subnational,"On 24 May 2020, around ten women staged a protest outside a restaurant in Howard Beach in New York-Queens (New York) against the coronavirus lockdown and its damage to small businesses in the area. [size=around 10]",0
6,840,USA14602,14602,2020-5-24,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,New York,Essex,,Keene Valley,44.19,-73.78699999999999,2,Count Love; Post-Star,Other-Subnational,"On 24 May 2020, a small group of people staged a protest near Keene Valley (New York) near Exit 30 of Interstate 87, against the influx of tourists over the Memorial Day weekend, citing concerns about the spread of coronavirus. [size=small]",0
7,840,USA4508,4508,2020-5-25,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-),,1,Civilians (United States),African American Group (United States),7,17,North America,United States,Minnesota,Hennepin,,Minneapolis,44.983000000000004,-93.26700000000001,1,New York Times,National,"On 25 May 2020, four Minneapolis police officers arrested a Black man, George Floyd, in Minneapolis (Minnesota) for allegedly using a counterfeit 20 dollar bill at a store. One white police officer knelt on Floyd's neck for a total of 8 minutes and 46 seconds, leading to his death. Prior to this, the four officers handcuffed Floyd and held him in a facedown position. Three of the officers applied pressure to his neck, torso, and back. Floyd repeatedly said ""I can't breathe"" before falling unconscious. Floyd was taken away by EMTs and later pronounced dead. All four officers were fired. The officer who used his knee to pin Floyd down was charged with second-degree murder. The other three officers were charged with aiding and abetting the murder. This event has galvanized support for the Black Lives Matter movement and triggered demonstrations worldwide.",1
8,840,USA4530,4530,2020-5-25,2020,1,Protests,Protest with intervention,Protesters (United States),GOP: Republican Party; Government of the United States (2017-),6,Police Forces of the United States (2017-),,1,16,North America,United States,Illinois,Cook,,Chicago,41.85,-87.65,1,Chicago Sun-Times; Count Love,Other-Subnational,"On 25 May 2020, hundreds of people protested in Chicago, Illinois against the Governor's statewide stay-at-home order amid the coronavirus pandemic. Police dispersed the crowd without making any arrests. A similar event happened at a different location in Chicago on the same day. [size=hundreds]",0
9,840,USA4532,4532,2020-5-25,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,North Carolina,Mecklenburg,,Charlotte,35.227,-80.843,1,WCNC Charlotte,Subnational,"On 25 May 2020, about a dozen cars staged a rolling rally in Charlotte (North Carolina) in support of Reopen NC, demanding that all restrictions be lifted amid the coronavirus pandemic. [size=almost 1 dozen]",0
