state,lawsrank,grade,gundeathrank,year
Alabama,37,F,2,2018
Alaska,44,F,1,2018
Arizona,46,F,18,2018
Arkansas,41,F,7,2018
California,1,A,44,2018
Colorado,15,C,24,2018
Connecticut,3,A-,46,2018
Delaware,11,B,36,2018
Florida,19,C-,28,2018
Georgia,34,F,19,2018
Hawaii,7,A-,50,2018
Idaho,48,F,15,2018
Illinois,8,B+,31,2018
Indiana,26,D-,20,2018
Iowa,16,C,41,2018
Kansas,45,F,17,2018
Kentucky,43,F,16,2018
Louisiana,30,F,4,2018
Maine,36,F,35,2018
Maryland,4,A-,29,2018
Massachusetts,5,A-,49,2018
Michigan,16,C,37,2018
Minnesota,13,C+,43,2018
Mississippi,50,F,5,2018
Missouri,47,F,6,2018
Montana,38,F,3,2018
Nebraska,20,C-,42,2018
Nevada,25,D,14,2018
New Hampshire,33,F,40,2018
New Jersey,2,A,45,2018
New Mexico,30,F,10,2018
New York,6,A-,48,2018
North Carolina,24,D,23,2018
North Dakota,38,F,25,2018
Ohio,22,D,22,2018
Oklahoma,29,F,13,2018
Oregon,14,C+,30,2018
Pennsylvania,12,C+,26,2018
Rhode Island,9,B+,47,2018
South Carolina,30,F,12,2018
South Dakota,42,F,33,2018
Tennessee,27,D-,11,2018
Texas,34,F,27,2018
Utah,28,D-,21,2018
Vermont,21,D+,34,2018
Virginia,22,D,32,2018
Washington,10,B+,38,2018
West Virginia,38,F,9,2018
Wisconsin,18,C-,39,2018
Wyoming,48,F,8,2018
