date,state,fips,cases,deaths
2020-05-25,Alabama,01,14986,566
2020-05-25,Alaska,02,412,8
2020-05-25,Arizona,04,16561,806
2020-05-25,Arkansas,05,6029,117
2020-05-25,California,06,97017,3808
2020-05-25,Colorado,08,24256,1333
2020-05-25,Connecticut,09,40873,3742
2020-05-25,Delaware,10,8965,332
2020-05-25,District of Columbia,11,8225,440
2020-05-25,Florida,12,51738,2251
2020-05-25,Georgia,13,41414,1820
2020-05-25,Guam,66,1135,6
2020-05-25,Hawaii,15,633,17
2020-05-25,Idaho,16,2664,79
2020-05-25,Illinois,17,112248,4912
2020-05-25,Indiana,18,32489,1984
2020-05-25,Iowa,19,17628,460
2020-05-25,Kansas,20,9272,201
2020-05-25,Kentucky,21,8899,403
2020-05-25,Louisiana,22,37916,2690
2020-05-25,Maine,23,2074,78
2020-05-25,Maryland,24,47754,2302
2020-05-25,Massachusetts,25,93271,6416
2020-05-25,Michigan,26,54816,5240
2020-05-25,Minnesota,27,21324,890
2020-05-25,Mississippi,28,13458,635
2020-05-25,Missouri,29,12296,694
2020-05-25,Montana,30,479,16
2020-05-25,Nebraska,31,12354,155
2020-05-25,Nevada,32,7959,396
2020-05-25,New Hampshire,33,4197,210
2020-05-25,New Jersey,34,155092,11144
2020-05-25,New Mexico,35,7026,320
2020-05-25,New York,36,367625,29138
2020-05-25,North Carolina,37,23997,780
2020-05-25,North Dakota,38,2457,54
2020-05-25,Northern Mariana Islands,69,22,2
2020-05-25,Ohio,39,32477,1987
2020-05-25,Oklahoma,40,6090,313
2020-05-25,Oregon,41,3949,148
2020-05-25,Pennsylvania,42,72356,5159
2020-05-25,Puerto Rico,72,3260,129
2020-05-25,Rhode Island,44,14065,608
2020-05-25,South Carolina,45,10178,440
2020-05-25,South Dakota,46,4586,50
2020-05-25,Tennessee,47,20533,334
2020-05-25,Texas,48,56490,1536
2020-05-25,Utah,49,8521,98
2020-05-25,Vermont,50,962,54
2020-05-25,Virgin Islands,78,69,6
2020-05-25,Virginia,51,37727,1208
2020-05-25,Washington,53,21265,1076
2020-05-25,West Virginia,54,1782,73
2020-05-25,Wisconsin,55,15857,514
2020-05-25,Wyoming,56,843,12
